2024-10-03 10:40:57 - GPU Memory: 21242 MB, CPU Usage: 3%, RAM Usage: 26301 MB / 1030999 MB
2024-10-03 10:41:02 - GPU Memory: 21242 MB, CPU Usage: 3.3%, RAM Usage: 26319 MB / 1030999 MB
2024-10-03 10:41:07 - GPU Memory: 21242 MB, CPU Usage: 12.2%, RAM Usage: 26409 MB / 1030999 MB
2024-10-03 10:41:13 - GPU Memory: 21242 MB, CPU Usage: 3.4%, RAM Usage: 26372 MB / 1030999 MB
2024-10-03 10:41:18 - GPU Memory: 21242 MB, CPU Usage: 17%, RAM Usage: 26450 MB / 1030999 MB
2024-10-03 10:41:23 - GPU Memory: 21242 MB, CPU Usage: 14.4%, RAM Usage: 26448 MB / 1030999 MB
2024-10-03 10:41:28 - GPU Memory: 21242 MB, CPU Usage: 17%, RAM Usage: 26459 MB / 1030999 MB
2024-10-03 10:41:34 - GPU Memory: 21242 MB, CPU Usage: 18.9%, RAM Usage: 26469 MB / 1030999 MB
2024-10-03 10:41:39 - GPU Memory: 21242 MB, CPU Usage: 18.2%, RAM Usage: 26436 MB / 1030999 MB
2024-10-03 10:41:44 - GPU Memory: 21242 MB, CPU Usage: 4.2%, RAM Usage: 26366 MB / 1030999 MB
2024-10-03 10:41:49 - GPU Memory: 21242 MB, CPU Usage: 18.5%, RAM Usage: 26489 MB / 1030999 MB
2024-10-03 10:41:55 - GPU Memory: 21242 MB, CPU Usage: 7.4%, RAM Usage: 26314 MB / 1030999 MB
2024-10-03 10:42:00 - GPU Memory: 21242 MB, CPU Usage: 18.4%, RAM Usage: 26482 MB / 1030999 MB
2024-10-03 10:42:05 - GPU Memory: 21242 MB, CPU Usage: 17.2%, RAM Usage: 26456 MB / 1030999 MB
2024-10-03 10:42:10 - GPU Memory: 21242 MB, CPU Usage: 6.8%, RAM Usage: 26309 MB / 1030999 MB
2024-10-03 10:42:15 - GPU Memory: 21242 MB, CPU Usage: 7.1%, RAM Usage: 26354 MB / 1030999 MB
2024-10-03 10:42:21 - GPU Memory: 21242 MB, CPU Usage: 19.8%, RAM Usage: 26461 MB / 1030999 MB
2024-10-03 10:42:26 - GPU Memory: 21242 MB, CPU Usage: 14.8%, RAM Usage: 26452 MB / 1030999 MB
2024-10-03 10:42:31 - GPU Memory: 21242 MB, CPU Usage: 17.4%, RAM Usage: 26461 MB / 1030999 MB
2024-10-03 10:42:36 - GPU Memory: 21242 MB, CPU Usage: 16.9%, RAM Usage: 26462 MB / 1030999 MB
2024-10-03 10:42:42 - GPU Memory: 21242 MB, CPU Usage: 20%, RAM Usage: 26488 MB / 1030999 MB
2024-10-03 10:42:47 - GPU Memory: 21242 MB, CPU Usage: 19.4%, RAM Usage: 26475 MB / 1030999 MB
2024-10-03 10:42:52 - GPU Memory: 21242 MB, CPU Usage: 16.7%, RAM Usage: 26479 MB / 1030999 MB
2024-10-03 10:42:57 - GPU Memory: 21242 MB, CPU Usage: 16.5%, RAM Usage: 26474 MB / 1030999 MB
2024-10-03 10:43:03 - GPU Memory: 21242 MB, CPU Usage: 17%, RAM Usage: 26460 MB / 1030999 MB
2024-10-03 10:43:08 - GPU Memory: 21242 MB, CPU Usage: 19.4%, RAM Usage: 26463 MB / 1030999 MB
2024-10-03 10:43:13 - GPU Memory: 21242 MB, CPU Usage: 19.7%, RAM Usage: 26472 MB / 1030999 MB
2024-10-03 10:43:18 - GPU Memory: 21242 MB, CPU Usage: 9.9%, RAM Usage: 26456 MB / 1030999 MB
2024-10-03 10:43:24 - GPU Memory: 21242 MB, CPU Usage: 11.9%, RAM Usage: 26470 MB / 1030999 MB
2024-10-03 10:43:29 - GPU Memory: 21242 MB, CPU Usage: 14.7%, RAM Usage: 26159 MB / 1030999 MB
2024-10-03 10:43:34 - GPU Memory: 21242 MB, CPU Usage: 3.4%, RAM Usage: 26316 MB / 1030999 MB
2024-10-03 10:43:39 - GPU Memory: 21242 MB, CPU Usage: 5.4%, RAM Usage: 26428 MB / 1030999 MB
2024-10-03 10:43:45 - GPU Memory: 21242 MB, CPU Usage: 4.3%, RAM Usage: 26385 MB / 1030999 MB
2024-10-03 10:43:50 - GPU Memory: 21242 MB, CPU Usage: 16.4%, RAM Usage: 26445 MB / 1030999 MB
2024-10-03 10:43:55 - GPU Memory: 21242 MB, CPU Usage: 17.6%, RAM Usage: 26451 MB / 1030999 MB
2024-10-03 10:44:00 - GPU Memory: 21242 MB, CPU Usage: 17.2%, RAM Usage: 26454 MB / 1030999 MB
2024-10-03 10:44:06 - GPU Memory: 21242 MB, CPU Usage: 18.4%, RAM Usage: 26490 MB / 1030999 MB
2024-10-03 10:44:11 - GPU Memory: 21242 MB, CPU Usage: 18.7%, RAM Usage: 26517 MB / 1030999 MB
2024-10-03 10:44:16 - GPU Memory: 21242 MB, CPU Usage: 17.3%, RAM Usage: 26534 MB / 1030999 MB
2024-10-03 10:44:21 - GPU Memory: 21242 MB, CPU Usage: 13.9%, RAM Usage: 26518 MB / 1030999 MB
2024-10-03 10:44:26 - GPU Memory: 21242 MB, CPU Usage: 17.9%, RAM Usage: 26559 MB / 1030999 MB
2024-10-03 10:44:32 - GPU Memory: 21242 MB, CPU Usage: 18.2%, RAM Usage: 26539 MB / 1030999 MB
2024-10-03 10:44:37 - GPU Memory: 21242 MB, CPU Usage: 9.6%, RAM Usage: 26529 MB / 1030999 MB
